,install_date,platform,lt,installs,iap_revenue,ads_revenue
422,2021-05-03,android,29,1143,24.03938859895587,123.18463373423663
423,2021-05-03,ios,29,231,17.360406390764176,21.909213014730994
424,2021-05-03,android,30,1123,24.769858680809616,123.08375871769863
425,2021-05-03,ios,30,249,40.35964358137852,21.924772004501392
426,2021-05-03,android,31,1108,87.99527641348404,119.2529212712825
427,2021-05-03,ios,31,235,53.640317934638915,28.741356017180806
428,2021-05-03,android,32,1071,35.53599207931644,118.32365553858972
429,2021-05-03,ios,32,227,28.593108145726625,27.12914000081946
430,2021-05-03,android,33,957,61.14996213535899,121.88711253174074
431,2021-05-03,ios,33,215,37.817043635531306,28.532761027321612
432,2021-05-03,android,34,1037,36.372339384820165,107.48471443642939
433,2021-05-03,ios,34,232,40.97193824175757,26.018112929294148
434,2021-05-03,android,35,1003,23.764999595284465,89.13349603201368
435,2021-05-03,ios,35,217,13.093371100937667,20.71450596169052
